frame_id,x,y,z
0,-0.0377229395245057,-0.0559459857354745,-0.002174523351024
1,0.3468586280291429,-0.1489659950519624,-0.0018002606954692
2,0.724845733806068,-0.2386197314816416,-0.0016964718519726
3,1.0968150873791622,-0.3251791963771274,-0.0018378045306987
4,1.4633433983213189,-0.4089163910910346,-0.0021989064418121
5,1.8250073762054304,-0.4901033169759783,-0.0027544252954773
6,2.1823837306043905,-0.5690119753845736,-0.0034790088018589
7,2.536049171091092,-0.6459143676694354,-0.0043473046711215
8,2.886580407238426,-0.7210824951831789,-0.0053339606134296
9,3.234554148619288,-0.794788359278419,-0.0064136243389478
10,3.580547104806569,-0.8673039613077705,-0.0075609435578406
11,3.925135985373164,-0.9389013026238489,-0.0087505659802726
12,4.268897499891962,-1.0098523845792686,-0.0099571393164084
13,4.617224589452837,-1.079759823845227,-0.0111405332614062
14,4.962611051096619,-1.1492833560905835,-0.0122771503043292
15,5.306264704146111,-1.2214628501955151,-0.0133231786748383
16,5.651519938089747,-1.2950644339488775,-0.0141349881888556
17,6.013965441267332,-1.374076890308231,-0.0148713468920589
18,6.3825100460689095,-1.454898830486472,-0.0154980644033209
19,6.742882075630143,-1.5324242493259714,-0.0159729044178311
20,7.097174227762179,-1.6069665713156305,-0.01619473486206
21,7.442373570843806,-1.6779757366714292,-0.0162052582722626
22,7.790274666869074,-1.7485342682239209,-0.0160108324166747
23,8.150084838103828,-1.821038535086848,-0.015600583893589
24,8.511598348780216,-1.893029615629972,-0.0150778535705955
25,8.866657075879848,-1.9626280005786227,-0.014511276775366
26,9.21632524663485,-2.030571158522831,-0.0139612543051769
27,9.5610099115536,-2.0973068534365584,-0.0134874701627776
28,9.900558902728326,-2.1630363278344302,-0.0131315638366076
29,10.234820051916069,-2.2279608241321944,-0.0127931934468556
30,10.562311622742204,-2.2932676757525403,-0.0125807232162452
31,10.88533072518266,-2.3605634663419743,-0.012715606185616
32,11.214270130561392,-2.4268978768167933,-0.0130942700854549
33,11.541540443921328,-2.4914810458107413,-0.0137468119569406
34,11.858162782418322,-2.553180585332013,-0.0146642128357536
35,12.172654770612226,-2.6142428439307315,-0.0157477169223192
36,12.49102864145656,-2.6756031701962333,-0.0169871927981504
37,12.823052648883293,-2.739192010848237,-0.0182140380328192
38,13.154258759918084,-2.8034474486730057,-0.0191827811759543
39,13.481950740690664,-2.868077062508925,-0.019936367051474
40,13.81022286739713,-2.93428516395251,-0.0205757065387273
41,14.141956831481346,-3.003008773476445,-0.0208502412153073
42,14.473188328741458,-3.0708284523307894,-0.0209133086884932
43,14.798559130365732,-3.13534942619032,-0.0207603445030979
44,15.127650453028004,-3.200761716252068,-0.0202250079753856
45,15.464651208371713,-3.268361436425198,-0.0194556852988497
46,15.80708343072753,-3.337754281481338,-0.0184987410838536
47,16.150290925807823,-3.408084355416729,-0.0173232175730565
48,16.48663626457915,-3.476392364780354,-0.0159165772602926
49,16.810553250030043,-3.539929688504115,-0.0142699957266815
50,17.13104012344116,-3.606809303194438,-0.0125135469466267
51,17.448657370769915,-3.6772106498866894,-0.0105361904867857
52,17.76294848718019,-3.75106664912704,-0.008408816490725
53,18.07355841346849,-3.828310221484726,-0.0062660764832979
54,18.380233535510182,-3.908874287600799,-0.0041646588900269
55,18.682821682170346,-3.991705680139922,-0.0022771624668292
56,18.989941903560148,-4.070770467584597,-0.0003400925174308
57,19.292818223885646,-4.150366448560766,0.0015416652787201
58,19.584911213781098,-4.231577829932265,0.0033463284127911
59,19.87864129616316,-4.316382210209144,0.0052939589046306
60,20.1761665607526,-4.402667795756084,0.0073472129747165
61,20.4745639483295,-4.489744080753155,0.0094763197776037
62,20.76506491875485,-4.577946495002805,0.0116906234199787
63,21.049208437249693,-4.667964286660147,0.0138142282410704
64,21.325332060437496,-4.758108282828071,0.0157609084768449
65,21.60251072049466,-4.84800993937318,0.0177603843315304
66,21.880502228606744,-4.941028325406789,0.0197042233544454
67,22.15827754772376,-5.037065336831723,0.0214914251693153
68,22.435529169134835,-5.13531600345942,0.0231746604430762
69,22.7120510167042,-5.232222532385166,0.0251464035124395
70,22.987313831830296,-5.328076098095608,0.0273178341008259
71,23.255442182360564,-5.424568199219711,0.0295248582349388
72,23.51833292919784,-5.517770202586756,0.0315134290724162
73,23.77848084439659,-5.608693134415022,0.0331100727191978
74,24.042197774579485,-5.707528222669665,0.0340832297135724
75,24.3067351597338,-5.808198797141396,0.0343761832934055
76,24.56977242591939,-5.908136510413792,0.0339064300883736
77,24.83095451650157,-6.007810929556256,0.0324340768970074
78,25.09002782999792,-6.11031028640534,0.0299057990981738
79,25.346094568313475,-6.214439708656605,0.0264326468439139
80,25.597482133136783,-6.316645599577447,0.0222096297599501
81,25.847489421302267,-6.42088403480055,0.0171110699148239
82,26.09702374210915,-6.528752371842834,0.011168751212598
83,26.346186532806417,-6.637564864517447,0.0045452652966504
84,26.59518069534901,-6.750007258359342,-0.0027031120863811
85,26.843176432494825,-6.865082149205671,-0.0105081393353869
86,27.086329107711364,-6.981081924867942,-0.0187816171531424
87,27.32541208573561,-7.098677390745956,-0.027221523863937
88,27.564968067268182,-7.217872305198279,-0.0357022447831517
89,27.80007313324717,-7.336954867651535,-0.0442662207606265
90,28.032856381841555,-7.459277431539602,-0.0524590247788991
91,28.26541774376432,-7.586819710078198,-0.0601254665381142
92,28.50008919819344,-7.718437128586185,-0.0672914096731844
93,28.73154419425404,-7.8491632156106785,-0.0733919571956592
94,28.958732767064813,-7.978394248538164,-0.0783878388987246
95,29.18475092499725,-8.109889255143065,-0.0829589103288489
96,29.410714559322606,-8.24083251642605,-0.0870845650186093
97,29.6376793324276,-8.369646791539783,-0.0908160580617039
98,29.86518557364061,-8.497744969130588,-0.0941805397969711
99,30.089985129104395,-8.626405790730463,-0.0972396249899378
100,30.31132286520652,-8.755835533230917,-0.1001092422024922
101,30.529350962812867,-8.889189507385357,-0.1029234256833478
102,30.746303129822696,-9.02687018770351,-0.1057214166930927
103,30.96127585870613,-9.167094068681774,-0.108543495352059
104,31.171683527983472,-9.303621812762737,-0.1113176776018016
105,31.382801973130995,-9.443095231808927,-0.1142347209497124
106,31.5958333341896,-9.587700315603248,-0.1174150272165873
107,31.80803667783681,-9.737437075253755,-0.1208439919310372
108,32.01885403929464,-9.889552686536693,-0.1243893441327542
109,32.2278289145394,-10.044243362952145,-0.1280190801701393
110,32.434606242727746,-10.200632863910874,-0.1317779209102491
111,32.636850864999744,-10.357710796782168,-0.1356417750960847
112,32.835466290442696,-10.517456878521422,-0.139630522013716
113,33.03313957704069,-10.68308929628315,-0.1439182103654058
114,33.22976926131048,-10.85125149668165,-0.1481908880882641
115,33.42535534658936,-11.022735871420377,-0.1523554825333429
116,33.61999929434263,-11.200559377950372,-0.1566579873872028
117,33.811014028659685,-11.377342305192569,-0.1608140360024387
118,33.99749604033007,-11.551092358525604,-0.1647500670691586
119,34.18178049588204,-11.725031920690828,-0.1687434960542907
120,34.36422245624023,-11.89949639398639,-0.172695382711221
121,34.54602405830988,-12.075673102218344,-0.1765408689370854
122,34.729365127622565,-12.2557740229481,-0.1803373714300032
123,34.9087669590573,-12.439258343506106,-0.1839736792001854
124,35.08377304904256,-12.626523519613908,-0.1875032722881575
125,35.25894907542291,-12.81488378435771,-0.1910970135585357
126,35.43201060673118,-13.00427206875882,-0.1946437853557813
127,35.60310600647545,-13.19448712975667,-0.1981164061343069
128,35.77177559931823,-13.385193564639636,-0.2015716472751872
129,35.937661168385134,-13.579743737629672,-0.2049219166927683
130,36.10196104462731,-13.779131276676672,-0.2080725038793229
131,36.26451987506619,-13.980066708134672,-0.21089182916925
132,36.42239381481089,-14.179126413278196,-0.2134591427718593
133,36.57587770000208,-14.378101447098407,-0.2158248358554043
134,36.72704993608532,-14.58417027900177,-0.2181048656399525
135,36.87520038760435,-14.794114713025603,-0.2202520840236886
136,37.02062768032695,-15.006941114433827,-0.2223058356314339
137,37.16622493267416,-15.225804781214917,-0.2243415176115656
138,37.31011665067476,-15.447286280406871,-0.2262533765841683
139,37.45140502896032,-15.66920465332242,-0.2280556928281839
140,37.59003934773438,-15.892369062367994,-0.229848122232905
141,37.72815187469994,-16.117454496308927,-0.2316083134891677
142,37.864839101626266,-16.343077419600966,-0.2333666498603742
143,37.99761687676299,-16.56964452323799,-0.2352282242677521
144,38.12699245000458,-16.80125024639272,-0.2371205318517114
145,38.25432012024398,-17.03770591719566,-0.2389702000057542
146,38.38193185689551,-17.276464131100372,-0.2406401111483451
147,38.50450112705793,-17.517596189590645,-0.2421871542418985
148,38.620977957404975,-17.75911483089759,-0.2436719308871592
149,38.73445834261747,-18.0008229902448,-0.2452955934962483
150,38.84524980889864,-18.24621137922128,-0.2467149864487169
151,38.95305181835983,-18.494487607554014,-0.2478191940813239
152,39.059996615076514,-18.7425005459625,-0.248625768775111
153,39.16344789625671,-18.993539681109525,-0.249117855138495
154,39.26190869696187,-19.246611387457666,-0.2492793837876788
155,39.3563459014677,-19.49836329984344,-0.2491297123596315
156,39.44782788085067,-19.751883643057432,-0.2489194429269027
157,39.5368149454609,-20.00717744583237,-0.2487189485823322
158,39.62620020323644,-20.26518801602673,-0.2484025698999409
159,39.71410816729685,-20.524105860283097,-0.2480386514756388
160,39.79964103897816,-20.783146138655823,-0.2476709610705013
161,39.882748096086274,-21.04237593254299,-0.2473895571028259
162,39.96556161805317,-21.30448097627941,-0.247208435819606
163,40.04717809390144,-21.56786391445932,-0.2471368046553813
164,40.1251133473688,-21.82856867347969,-0.2472876978219853
165,40.19987464162288,-22.092901680831726,-0.2476768928810909
166,40.27190897082564,-22.360661691488705,-0.2482414878400182
167,40.340147948655954,-22.6251397958466,-0.2488903358490024
168,40.4036246857454,-22.88988960271121,-0.2495026746040155
169,40.4638361527002,-23.15709206712385,-0.2500276813392737
170,40.52341866862469,-23.42580385146609,-0.250503369730275
171,40.57943156788749,-23.695081648640056,-0.2509490481824171
172,40.63081917943919,-23.964920433409425,-0.2513565924747295
173,40.67986591735192,-24.232231962737472,-0.2516431346133436
174,40.72697758123012,-24.500368594726293,-0.2515937144775365
175,40.77185554407698,-24.77032396429828,-0.2510763001518769
176,40.81191101851551,-25.03880861294549,-0.2501677641806336
177,40.84673825310535,-25.311726488110622,-0.248794335501173
178,40.87677853379213,-25.58847386052443,-0.2469591176916983
179,40.90345079558936,-25.861939323242183,-0.2446916584533278
180,40.92837691869638,-26.135273985694603,-0.2418831456415419
181,40.95095394273165,-26.41025633014383,-0.2385741426163806
182,40.96676833221238,-26.685540573787485,-0.2348726321556671
183,40.97856101987414,-26.959780893164915,-0.2306926620012886
184,40.98678281552536,-27.234755764670936,-0.2261035557289129
185,40.99118012209567,-27.513616308899056,-0.221213283174091
186,40.99170221177908,-27.79582587904309,-0.2158307823972296
187,40.98833956517555,-28.079782083548047,-0.2099818142465553
188,40.97966874516206,-28.36071968102312,-0.2037043769051199
189,40.96446923845655,-28.64044818176031,-0.1970280610540267
190,40.94334020090611,-28.91756643329436,-0.190016382581808
191,40.91724533069605,-29.18536551585733,-0.1826928234110128
192,40.886542895593486,-29.4501518578784,-0.1751376337187316
193,40.85108454213654,-29.71391021241407,-0.1674306039366604
194,40.813256148963774,-29.97657348545248,-0.1596321510433641
195,40.76869488723616,-30.23438685584072,-0.1518239514248629
196,40.71725429251924,-30.486940293528647,-0.1440732794761194
197,40.66141855022492,-30.73926568073489,-0.1364676638238151
198,40.60098474620091,-30.98733565760731,-0.1290126540806739
199,40.53669850412606,-31.2305540395624,-0.1216619742804524
